label,coef,se,pval,stars
Region: Northeast,-0.009571241835213407,0.001958427091706654,1.0227568308736637e-06,***
Region: Midwest,-0.006494275509916929,0.0022501766617641313,0.003900258170094201,***
Region: South,-0.0110060943586692,0.0017428720165568407,2.7030427084075235e-10,***
Region: West,-0.012246806411211758,0.0038653248551004317,0.0015329259223011969,***
Urban: High-Urban,-0.0038703972421549743,0.003092231317103462,0.21069672955926866,
Urban: Low-Urban,-0.013397673389024214,0.002123988456083849,2.830476858303247e-10,***
Min: High-Minority,-0.00961600679668613,0.004518483026669313,0.03332470126141329,**
Min: Low-Minority,-0.012718550042204457,0.0026314426991271614,1.3428868595113768e-06,***
Temp: Pre-COVID (2018–19),0.009501324028410252,0.0013680165254566026,3.775809331795414e-12,***
Temp: COVID (2020–21),-0.012643673439281541,0.003775933661906472,0.0008125342022526436,***
Temp: Post-COVID (2022–24),-0.002024691730113437,0.0030144732426792427,0.5018021505005131,
Bite: DID main,-0.008783356491203986,0.0031885195931506674,0.0058749263506386006,***
Bite: DID × Unemp Rate,-9.957414186237412e-05,0.00045954453230946646,0.8284576801244959,
