state,first_treat_year,first_treat_quarter,first_treat_time,initial_mw,ever_treated,g
AK,2020.0,1.0,9.0,10.19,True,9.0
AL,,,,7.25,False,
AR,2021.0,1.0,13.0,11.0,True,13.0
AZ,2018.0,1.0,1.0,10.5,True,1.0
CA,2017.0,1.0,-3.0,10.5,True,-3.0
CO,2018.0,1.0,1.0,10.2,True,1.0
CT,2017.0,1.0,-3.0,10.1,True,-3.0
DC,2016.0,1.0,-7.0,11.5,True,-7.0
DE,2021.0,1.0,13.0,10.25,True,13.0
FL,2023.0,1.0,21.0,12.0,True,21.0
GA,,,,7.25,False,
HI,2018.0,1.0,1.0,10.1,True,1.0
IA,,,,7.25,False,
ID,,,,7.25,False,
IL,2021.0,1.0,13.0,11.0,True,13.0
IN,,,,7.25,False,
KS,,,,7.25,False,
KY,,,,7.25,False,
LA,,,,7.25,False,
MA,2017.0,1.0,-3.0,11.0,True,-3.0
MD,2018.0,1.0,1.0,10.1,True,1.0
ME,2019.0,1.0,5.0,11.0,True,5.0
MI,2023.0,1.0,21.0,10.1,True,21.0
MN,2021.0,1.0,13.0,10.08,True,13.0
MO,2021.0,1.0,13.0,10.3,True,13.0
MS,,,,7.25,False,
MT,2024.0,1.0,25.0,10.3,True,25.0
NC,,,,7.25,False,
ND,,,,7.25,False,
NE,2023.0,1.0,21.0,10.5,True,21.0
NH,,,,7.25,False,
NJ,2020.0,1.0,9.0,11.0,True,9.0
NM,2021.0,1.0,13.0,10.5,True,13.0
NV,2022.0,1.0,17.0,10.5,True,17.0
NY,2018.0,1.0,1.0,10.4,True,1.0
OH,2023.0,1.0,21.0,10.1,True,21.0
OK,,,,7.25,False,
OR,2017.0,1.0,-3.0,10.25,True,-3.0
PA,,,,7.25,False,
RI,2018.0,1.0,1.0,10.1,True,1.0
SC,,,,7.25,False,
SD,2023.0,1.0,21.0,10.8,True,21.0
TN,,,,7.25,False,
TX,,,,7.25,False,
UT,,,,7.25,False,
VA,2021.0,1.0,13.0,11.0,True,13.0
VT,2018.0,1.0,1.0,10.5,True,1.0
WA,2017.0,1.0,-3.0,11.0,True,-3.0
WI,,,,7.25,False,
WV,,,,7.25,False,
WY,,,,7.25,False,
